"source_address","destination_address","temperature","weather","food","clothes","transportation",imglink
Dadar, Shivaji Park, Dadar West, 26°C, Breezy, Local Cuisine, Casual, Public Transport,"https://images.app.goo.gl/xagNEriDZcjkSiGP8"
Dadar, Siddhivinayak Temple, SKBole Marg, 28°C, Partly Cloudy, Vegetarian, Modest Attire, Taxi Service,"https://images.app.goo.gl/aEvZAyKRT9gf2cCP6"
Dadar, Dadar Chowpatty, Bhadkamkar Marg, 24°C, Clear Skies, Street Food, Comfortable, Local Train,"https://images.app.goo.gl/UJR5GMKa7FBauKUh9"
Dadar, Portuguese Church, Dr. Antonio Da Silva Road, 29°C, Warm, Continental, Smart Casual, Bus Service,"https://images.app.goo.gl/YjpztzYwGzYd7o8w5"
Dadar, Plaza Cinema, Dadar West, 25°C, Cloudy, Fast Food, Casual, Rickshaw,"https://images.app.goo.gl/6CMmeAppz1wyBPVJ8"
Dadar, Five Gardens, Dadar East, 23°C, Rainy, Snacks, Rain Gear, Bicycle,"https://images.app.goo.gl/uBsCWeq4YHKYztu67"
Dadar, Shivaji Mandir, Dadar West, 27°C, Breezy, Indian Cuisine, Light Layers, Walkable,"https://images.app.goo.gl/uHPX2cHuHeHt6bYL6"
Dadar, Dadar Flower Market, Dadar West, 22°C, Foggy, Street Food, Comfortable, Auto Rickshaw,"https://images.app.goo.gl/aC6Gm4u7eMHxVBqWA"
Dadar, Worli Sea Face, Worli, 30°C, Humid, Seafood, Summer Attire, Private Car Rental,"https://images.app.goo.gl/B2vkF8VBcCiq9HdS6"
Dadar, Nehru Science Centre, Worli, 21°C, Cool, Café nearby, Warm Clothes, Taxi Service,"https://images.app.goo.gl/SYYA1dGeSyJXjuuA6"
Dadar, Shivaji Park Zoo, Dadar West, 26°C, Breezy, Local Snacks, Casual, Bus Service,"https://images.app.goo.gl/b8hobi7VB4Wef12D8"
Dadar, Matunga Market, Matunga East, 28°C, Partly Cloudy, South Indian Cuisine, Modest Attire, Rickshaw,"https://images.app.goo.gl/WJHAZDixzQG4xciKA"
Dadar, Kabutar Khana, Dadar West, 24°C, Clear Skies, Street Food, Comfortable, Local Train,"https://images.app.goo.gl/FjH7es8Wfj74fvmE8"
Dadar, Dadar Parsi Colony, Dadar East, 29°C, Warm, Parsi Food, Smart Casual, Metro,"https://images.app.goo.gl/Sdo7UCB6DtFiV2PD9"
Dadar, Dadar Beach, Dadar West, 25°C, Cloudy, Snacks, Casual, Bicycle,"https://images.app.goo.gl/g7xhzz16CcAUKSvp9"
Dadar, Siddhivinayak Plaza, Dadar West, 23°C, Rainy, Shopping and Cafes, Rain Gear, Walkable,"https://images.app.goo.gl/sJDoQMKXZ51HZNBK6"
Dadar, Dadar Shopping Street, Dadar West, 27°C, Breezy, Various Cuisines, Light Layers, Auto Rickshaw,"https://images.app.goo.gl/ykVxMJemVHk6AXJC8"
Dadar, Dadar Fish Market, Dadar West, 22°C, Foggy, Seafood, Comfortable, Local Train,"https://www.google.com/imgres?imgurl=https%3A%2F%2Fcontent.jdmagicbox.com%2Fcomp%2Fmumbai%2Fa4%2F022pxx22.xx22.190719210958.r2a4%2Fcatalogue%2Fmahul-fish-market-mumbai-fish-retailers-helud2f7my.jpg%3Fclr%3D&tbnid=AA1ou8ouDbyuJM&vet=1&imgrefurl=https%3A%2F%2Fwww.justdial.com%2FMumbai%2FFish-Markets-in-Dadar-West%2Fnct-11964317&docid=TQI_M9LlmOQ5MM&w=750&h=550&source=sh%2Fx%2Fim%2Fm1%2F2&kgs=742cfaa7e53b723e"
Dadar, Dadar Parsi Gymkhana, Dadar East, 30°C, Humid, Gymkhana Restaurant, Summer Attire, Private Car Rental,"https://images.app.goo.gl/SAdps4i11sMURNrE6"
Dadar, Dadar Hindu Colony, Dadar East, 21°C, Cool, Local Eateries, Warm Clothes, Taxi Service,"https://images.app.goo.gl/NzCE2J8iRshmsCrr5"
